algorithm;timed out;problem instance;average probability of being unavailable at any given time slot;constraint violation cost;formulation;maximum random cost of being unavailable at any given time slot;number of agents;number of agents per meeting;number of meetings;number of time slots;target probability of being unavailable at any given time slot;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
P-DPOP;0;randomMeetingScheduling_1548911764143;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;61;2713;48287;2338;2;0;0
DPOP;0;randomMeetingScheduling_1548911764957;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;37;20;5860;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911764957;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;145;3618;213298;88284;4;0;0
DPOP;0;randomMeetingScheduling_1548911765911;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;59;22;10514;5689;3;0;0
P-DPOP;0;randomMeetingScheduling_1548911765911;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;430;4519;87089;11618;3;0;0
DPOP;0;randomMeetingScheduling_1548911767222;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;232;33;259011;218125;5;0;0
P-DPOP;0;randomMeetingScheduling_1548911767222;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;19475;5422;591121;500579;5;0;0
DPOP;0;randomMeetingScheduling_1548911789194;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2002;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911789194;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;38;905;16131;814;1;0;0
DPOP;0;randomMeetingScheduling_1548911789808;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;36;13;3527;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911789808;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;54;1808;31893;2332;2;0;0
DPOP;0;randomMeetingScheduling_1548911790525;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;33;18;4938;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911790525;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;65;2713;47986;2338;2;0;0
DPOP;0;randomMeetingScheduling_1548911791349;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;44;20;9600;5691;3;0;0
P-DPOP;0;randomMeetingScheduling_1548911791349;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;159;3620;173540;99485;4;0;0
DPOP;0;randomMeetingScheduling_1548911792409;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;96;25;56518;46050;4;0;0
P-DPOP;0;randomMeetingScheduling_1548911792409;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;1028;4523;5227114;5074612;6;0;0
DPOP;0;randomMeetingScheduling_1548911795026;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;316;26;354173;314893;5;0;0
P-DPOP;1;randomMeetingScheduling_1548911795026;0.0;infinity;PEAV;null;3;2;6;8;0.0;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;0;randomMeetingScheduling_1548911914318;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;26;8;2002;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911914318;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;45;905;16263;810;1;0;0
DPOP;0;randomMeetingScheduling_1548911914946;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;26;16;4014;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548911914946;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;52;1810;32378;813;1;0;0
DPOP;0;randomMeetingScheduling_1548911915621;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;31;18;4934;1168;2;0;0
P-DPOP;0;randomMeetingScheduling_1548911915621;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;96;2715;72020;14321;3;0;0
DPOP;0;randomMeetingScheduling_1548911916455;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;61;24;12391;6585;3;0;0
P-DPOP;0;randomMeetingScheduling_1548911916455;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;127;3616;76990;14416;3;0;0
DPOP;0;randomMeetingScheduling_1548911917469;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;75;24;56454;46050;4;0;0
P-DPOP;0;randomMeetingScheduling_1548911917469;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;304;4521;787175;634863;5;0;0
DPOP;0;randomMeetingScheduling_1548911919047;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;338;26;354171;314893;5;0;0
P-DPOP;1;randomMeetingScheduling_1548911919047;0.0;infinity;PEAV;null;3;2;6;8;0.0;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;0;randomMeetingScheduling_1548912036394;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2002;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912036394;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;42;905;16165;811;1;0;0
DPOP;0;randomMeetingScheduling_1548912037018;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;31;16;4014;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912037018;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;47;1810;32400;812;1;0;0
DPOP;0;randomMeetingScheduling_1548912037755;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;28;18;4938;1168;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912037755;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;71;2715;50790;2425;2;0;0
DPOP;0;randomMeetingScheduling_1548912038587;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;43;20;9598;5691;3;0;0
P-DPOP;0;randomMeetingScheduling_1548912038587;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;148;3616;71350;11623;3;0;0
DPOP;0;randomMeetingScheduling_1548912039561;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;85;24;48317;42466;4;0;0
P-DPOP;0;randomMeetingScheduling_1548912039561;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;1086;4521;265186;99484;4;0;0
DPOP;0;randomMeetingScheduling_1548912041689;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;95;24;39370;34404;4;0;0
P-DPOP;0;randomMeetingScheduling_1548912041689;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;26912;5422;152676;63186;4;0;0
DPOP;0;randomMeetingScheduling_1548912069783;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2002;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912069783;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;37;905;16227;812;1;0;0
DPOP;0;randomMeetingScheduling_1548912070478;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;34;13;3531;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912070478;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;60;1808;31869;2338;2;0;0
DPOP;0;randomMeetingScheduling_1548912071174;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;30;18;4938;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912071174;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;101;2713;48199;2335;2;0;0
DPOP;0;randomMeetingScheduling_1548912071998;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;40;20;9598;5691;3;0;0
P-DPOP;0;randomMeetingScheduling_1548912071998;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;155;3616;71404;11599;3;0;0
DPOP;0;randomMeetingScheduling_1548912072996;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;128;27;49715;42466;4;0;0
P-DPOP;0;randomMeetingScheduling_1548912072996;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;796;4521;5214770;5074615;6;0;0
DPOP;0;randomMeetingScheduling_1548912075276;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;256;26;325440;314893;5;0;0
P-DPOP;0;randomMeetingScheduling_1548912075276;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;19208;5424;8838731;5074615;6;0;0
DPOP;0;randomMeetingScheduling_1548912098647;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;30;8;2002;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912098647;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;38;905;16211;814;1;0;0
DPOP;0;randomMeetingScheduling_1548912099400;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;30;16;4014;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912099400;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;49;1810;32606;814;1;0;0
DPOP;0;randomMeetingScheduling_1548912100159;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;36;24;7542;1234;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912100159;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;63;2713;50783;2534;2;0;0
DPOP;0;randomMeetingScheduling_1548912101026;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;40;20;9596;5691;3;0;0
P-DPOP;0;randomMeetingScheduling_1548912101026;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;228;3616;71563;11625;3;0;0
DPOP;0;randomMeetingScheduling_1548912102165;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;88;24;56462;46052;4;0;0
P-DPOP;0;randomMeetingScheduling_1548912102165;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;351;4523;835521;634846;5;0;0
DPOP;0;randomMeetingScheduling_1548912103772;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;81;24;39372;34404;4;0;0
P-DPOP;1;randomMeetingScheduling_1548912103772;0.0;infinity;PEAV;null;3;2;6;8;0.0;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;0;randomMeetingScheduling_1548912299944;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;26;8;2002;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912299944;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;39;905;16245;811;1;0;0
DPOP;0;randomMeetingScheduling_1548912300558;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;34;13;3527;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912300558;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;55;1808;31903;2335;2;0;0
DPOP;0;randomMeetingScheduling_1548912301344;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;32;18;4936;1168;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912301344;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;73;2715;50846;2427;2;0;0
DPOP;0;randomMeetingScheduling_1548912302212;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;33;20;5860;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912302212;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;152;3618;66518;2429;2;0;0
DPOP;0;randomMeetingScheduling_1548912303132;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;120;30;80539;39780;4;0;0
P-DPOP;0;randomMeetingScheduling_1548912303132;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;1472;4521;4274374;4133815;6;0;0
DPOP;0;randomMeetingScheduling_1548912306023;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;239;26;325436;314891;5;0;0
P-DPOP;0;randomMeetingScheduling_1548912306023;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;5502;5424;6131478;5074719;6;0;0
DPOP;0;randomMeetingScheduling_1548912315675;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912315675;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;41;905;16195;811;1;0;0
DPOP;0;randomMeetingScheduling_1548912316298;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;25;16;4014;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912316298;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;51;1810;32492;811;1;0;0
DPOP;0;randomMeetingScheduling_1548912317025;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;35;18;4940;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912317025;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;66;2713;48099;2337;2;0;0
DPOP;0;randomMeetingScheduling_1548912317869;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;66;25;12735;5689;3;0;0
P-DPOP;0;randomMeetingScheduling_1548912317869;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;136;3616;86278;14425;3;0;0
DPOP;0;randomMeetingScheduling_1548912318859;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;119;29;49083;42468;4;0;0
P-DPOP;0;randomMeetingScheduling_1548912318859;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;1720;4521;9346838;5074720;6;0;0
DPOP;0;randomMeetingScheduling_1548912322332;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;308;31;279429;271885;5;0;0
P-DPOP;0;randomMeetingScheduling_1548912322332;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;19131;5424;593892;500594;5;0;0
DPOP;0;randomMeetingScheduling_1548912344392;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2002;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912344392;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;39;905;16221;809;1;0;0
DPOP;0;randomMeetingScheduling_1548912345009;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;30;16;4012;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912345009;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;50;1810;32456;810;1;0;0
DPOP;0;randomMeetingScheduling_1548912345741;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;34;18;4934;1168;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912345741;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;64;2713;48085;2325;2;0;0
DPOP;0;randomMeetingScheduling_1548912346552;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;59;25;12896;6587;3;0;0
P-DPOP;0;randomMeetingScheduling_1548912346552;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;131;3616;86297;14420;3;0;0
DPOP;0;randomMeetingScheduling_1548912347591;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;62;22;10518;5689;3;0;0
P-DPOP;0;randomMeetingScheduling_1548912347591;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;862;4523;189272;99454;4;0;0
DPOP;0;randomMeetingScheduling_1548912349440;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;333;31;501074;271883;5;0;0
P-DPOP;1;randomMeetingScheduling_1548912349440;0.0;infinity;PEAV;null;3;2;6;8;0.0;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;0;randomMeetingScheduling_1548912420175;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912420175;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;38;905;16187;812;1;0;0
DPOP;0;randomMeetingScheduling_1548912420935;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;28;16;4014;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912420935;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;48;1810;32384;810;1;0;0
DPOP;0;randomMeetingScheduling_1548912421612;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;31;18;4930;1168;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912421612;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;58;2713;48047;2331;2;0;0
DPOP;0;randomMeetingScheduling_1548912422459;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;125;17;37898;34402;4;0;0
P-DPOP;0;randomMeetingScheduling_1548912422459;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;597;3616;123655;63080;4;0;0
DPOP;0;randomMeetingScheduling_1548912423985;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;104;29;46286;34402;4;0;0
P-DPOP;0;randomMeetingScheduling_1548912423985;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;1022;4521;348348;110781;4;0;0
DPOP;0;randomMeetingScheduling_1548912426045;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;132;39;80258;34404;4;0;0
P-DPOP;0;randomMeetingScheduling_1548912426045;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;1799;5424;4385338;4133816;6;0;0
DPOP;0;randomMeetingScheduling_1548912429367;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2002;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912429367;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;38;905;16257;812;1;0;0
DPOP;0;randomMeetingScheduling_1548912430068;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;34;13;3527;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912430068;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;54;1808;31911;2337;2;0;0
DPOP;0;randomMeetingScheduling_1548912430878;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;33;18;4938;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912430878;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;68;2715;50843;2426;2;0;0
DPOP;0;randomMeetingScheduling_1548912431703;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;43;20;9598;5691;3;0;0
P-DPOP;0;randomMeetingScheduling_1548912431703;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;229;3616;71451;11620;3;0;0
DPOP;0;randomMeetingScheduling_1548912432873;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;132;27;46192;34404;4;0;0
P-DPOP;0;randomMeetingScheduling_1548912432873;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;1344;4521;9346600;5074714;6;0;0
DPOP;0;randomMeetingScheduling_1548912435965;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;465;37;336967;261131;5;0;0
P-DPOP;0;randomMeetingScheduling_1548912435965;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;20000;5424;9360897;5074720;6;0;0
DPOP;0;randomMeetingScheduling_1548912459830;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;26;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912459830;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;44;905;16145;811;1;0;0
DPOP;0;randomMeetingScheduling_1548912460461;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;37;13;3531;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912460461;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;53;1810;34550;2428;2;0;0
DPOP;0;randomMeetingScheduling_1548912461170;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;39;18;4934;1168;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912461170;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;81;2713;48212;2325;2;0;0
DPOP;0;randomMeetingScheduling_1548912462065;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;40;20;9598;5691;3;0;0
P-DPOP;0;randomMeetingScheduling_1548912462065;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;133;3616;71463;11619;3;0;0
DPOP;0;randomMeetingScheduling_1548912463059;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;122;30;80539;39780;4;0;0
P-DPOP;0;randomMeetingScheduling_1548912463059;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;1330;4521;4360241;4133914;6;0;0
DPOP;0;randomMeetingScheduling_1548912465846;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;250;26;325440;314893;5;0;0
P-DPOP;1;randomMeetingScheduling_1548912465846;0.0;infinity;PEAV;null;3;2;6;8;0.0;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;0;randomMeetingScheduling_1548912581820;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;30;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912581820;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;42;905;16247;812;1;0;0
DPOP;0;randomMeetingScheduling_1548912582444;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;34;16;4012;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912582444;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;45;1810;32380;812;1;0;0
DPOP;0;randomMeetingScheduling_1548912583150;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;29;18;4934;1168;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912583150;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;73;2715;50900;2431;2;0;0
DPOP;0;randomMeetingScheduling_1548912583933;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;63;25;12471;6587;3;0;0
P-DPOP;0;randomMeetingScheduling_1548912583933;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;113;3616;76790;14419;3;0;0
DPOP;0;randomMeetingScheduling_1548912584955;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;130;30;80531;39780;4;0;0
P-DPOP;0;randomMeetingScheduling_1548912584955;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;954;4523;5216964;5074616;6;0;0
DPOP;0;randomMeetingScheduling_1548912587496;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;244;26;325442;314893;5;0;0
P-DPOP;1;randomMeetingScheduling_1548912587496;0.0;infinity;PEAV;null;3;2;6;8;0.0;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;0;randomMeetingScheduling_1548912656564;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;26;8;2002;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912656564;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;40;905;16203;810;1;0;0
DPOP;0;randomMeetingScheduling_1548912657201;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;33;13;3529;1168;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912657201;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;61;1810;34575;2422;2;0;0
DPOP;0;randomMeetingScheduling_1548912657911;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;36;18;4936;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912657911;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;85;2715;72076;14318;3;0;0
DPOP;0;randomMeetingScheduling_1548912658769;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;61;24;12391;6585;3;0;0
P-DPOP;0;randomMeetingScheduling_1548912658769;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;108;3616;77086;14413;3;0;0
DPOP;0;randomMeetingScheduling_1548912659812;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;69;24;56460;46050;4;0;0
P-DPOP;0;randomMeetingScheduling_1548912659812;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;648;4523;288455;99587;4;0;0
DPOP;0;randomMeetingScheduling_1548912661659;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;254;26;325436;314893;5;0;0
P-DPOP;0;randomMeetingScheduling_1548912661659;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;2589;5428;7989251;4133816;6;0;0
DPOP;0;randomMeetingScheduling_1548912668657;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2002;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912668657;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;42;905;16211;814;1;0;0
DPOP;0;randomMeetingScheduling_1548912669330;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;31;16;4014;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912669330;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;50;1810;32384;813;1;0;0
DPOP;0;randomMeetingScheduling_1548912670032;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;43;24;7542;1232;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912670032;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;60;2715;53625;2530;2;0;0
DPOP;0;randomMeetingScheduling_1548912670842;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;41;20;9596;5691;3;0;0
P-DPOP;0;randomMeetingScheduling_1548912670842;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;380;3618;758296;634891;5;0;0
DPOP;0;randomMeetingScheduling_1548912672122;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;103;29;46286;34404;4;0;0
P-DPOP;0;randomMeetingScheduling_1548912672122;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;669;4519;164909;88390;4;0;0
DPOP;0;randomMeetingScheduling_1548912673844;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;280;26;354169;314891;5;0;0
P-DPOP;0;randomMeetingScheduling_1548912673844;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;18325;5426;3876605;3663519;6;0;0
DPOP;0;randomMeetingScheduling_1548912696469;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2002;465;1;0;0
