algorithm;timed out;problem instance;average probability of being unavailable at any given time slot;constraint violation cost;formulation;maximum random cost of being unavailable at any given time slot;number of agents;number of agents per meeting;number of meetings;number of time slots;target probability of being unavailable at any given time slot;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
P-DPOP;0;randomMeetingScheduling_1548912696469;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;41;905;16179;813;1;0;0
DPOP;0;randomMeetingScheduling_1548912697160;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;27;16;4012;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912697160;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;48;1810;32628;813;1;0;0
DPOP;0;randomMeetingScheduling_1548912697869;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;39;18;4940;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912697869;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;67;2715;50998;2436;2;0;0
DPOP;0;randomMeetingScheduling_1548912698717;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;44;22;12297;6587;3;0;0
P-DPOP;0;randomMeetingScheduling_1548912698717;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;163;3618;186143;99577;4;0;0
DPOP;0;randomMeetingScheduling_1548912699810;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;283;30;318765;277261;5;0;0
P-DPOP;0;randomMeetingScheduling_1548912699810;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;650;4521;167667;88384;4;0;0
DPOP;0;randomMeetingScheduling_1548912703200;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;264;26;325436;314891;5;0;0
P-DPOP;1;randomMeetingScheduling_1548912703200;0.0;infinity;PEAV;null;3;2;6;8;0.0;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;0;randomMeetingScheduling_1548912786928;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2002;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912786928;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;45;905;16291;809;1;0;0
DPOP;0;randomMeetingScheduling_1548912787553;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;37;13;3531;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912787553;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;56;1808;31846;2334;2;0;0
DPOP;0;randomMeetingScheduling_1548912788247;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;33;18;4938;1168;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912788247;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;100;2713;48127;2338;2;0;0
DPOP;0;randomMeetingScheduling_1548912789094;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;39;20;5860;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912789094;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;176;3618;213157;88283;4;0;0
DPOP;0;randomMeetingScheduling_1548912790107;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;84;25;56518;46052;4;0;0
P-DPOP;0;randomMeetingScheduling_1548912790107;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;949;4521;208873;110674;4;0;0
DPOP;0;randomMeetingScheduling_1548912792241;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;229;33;230286;218125;5;0;0
P-DPOP;1;randomMeetingScheduling_1548912792241;0.0;infinity;PEAV;null;3;2;6;8;0.0;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;0;randomMeetingScheduling_1548912903712;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;26;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912903712;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;43;905;16257;812;1;0;0
DPOP;0;randomMeetingScheduling_1548912904351;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;31;16;4014;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912904351;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;55;1810;32474;812;1;0;0
DPOP;0;randomMeetingScheduling_1548912905052;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;32;18;4940;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912905052;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;83;2713;47993;2333;2;0;0
DPOP;0;randomMeetingScheduling_1548912905887;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;71;28;23902;6583;3;0;0
P-DPOP;0;randomMeetingScheduling_1548912905887;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;130;3616;86212;14417;3;0;0
DPOP;0;randomMeetingScheduling_1548912906943;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;69;25;56514;46050;4;0;0
P-DPOP;0;randomMeetingScheduling_1548912906943;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;867;4521;208726;110686;4;0;0
DPOP;0;randomMeetingScheduling_1548912908909;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;257;26;325434;314891;5;0;0
P-DPOP;0;randomMeetingScheduling_1548912908909;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;8924;5424;25034318;24598501;7;0;0
DPOP;0;randomMeetingScheduling_1548912923319;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;24;8;2002;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912923319;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;43;905;16305;811;1;0;0
DPOP;0;randomMeetingScheduling_1548912923939;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;27;16;4016;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548912923939;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;51;1810;32502;812;1;0;0
DPOP;0;randomMeetingScheduling_1548912924650;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;35;18;4938;1168;2;0;0
P-DPOP;0;randomMeetingScheduling_1548912924650;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;79;2713;48033;2334;2;0;0
DPOP;0;randomMeetingScheduling_1548912925552;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;58;25;18322;6587;3;0;0
P-DPOP;0;randomMeetingScheduling_1548912925552;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;145;3618;184882;110683;4;0;0
DPOP;0;randomMeetingScheduling_1548912926577;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;44;22;10520;5691;3;0;0
P-DPOP;0;randomMeetingScheduling_1548912926577;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;504;4521;918251;500490;5;0;0
DPOP;0;randomMeetingScheduling_1548912928101;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;83;24;39370;34404;4;0;0
P-DPOP;1;randomMeetingScheduling_1548912928101;0.0;infinity;PEAV;null;3;2;6;8;0.0;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;0;randomMeetingScheduling_1548913123505;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548913123505;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;45;905;16223;810;1;0;0
DPOP;0;randomMeetingScheduling_1548913124147;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;35;13;3527;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548913124147;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;55;1808;31854;2338;2;0;0
DPOP;0;randomMeetingScheduling_1548913124851;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;37;18;4938;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548913124851;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;63;2713;48184;2335;2;0;0
DPOP;0;randomMeetingScheduling_1548913125680;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;43;20;5858;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548913125680;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;135;3620;215895;88282;4;0;0
DPOP;0;randomMeetingScheduling_1548913126741;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;77;24;56456;46052;4;0;0
P-DPOP;0;randomMeetingScheduling_1548913126741;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;236;4519;100390;14380;3;0;0
DPOP;0;randomMeetingScheduling_1548913128034;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;271;26;354171;314893;5;0;0
P-DPOP;1;randomMeetingScheduling_1548913128034;0.0;infinity;PEAV;null;3;2;6;8;0.0;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;0;randomMeetingScheduling_1548913190904;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;26;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548913190904;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;43;905;16219;808;1;0;0
DPOP;0;randomMeetingScheduling_1548913191529;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;30;16;4014;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548913191529;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;48;1810;32366;810;1;0;0
DPOP;0;randomMeetingScheduling_1548913192234;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;31;18;4934;1168;2;0;0
P-DPOP;0;randomMeetingScheduling_1548913192234;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;63;2715;50917;2427;2;0;0
DPOP;0;randomMeetingScheduling_1548913193176;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;67;27;12894;5689;3;0;0
P-DPOP;0;randomMeetingScheduling_1548913193176;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;132;3618;77189;11613;3;0;0
DPOP;0;randomMeetingScheduling_1548913194191;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;59;22;10516;5689;3;0;0
P-DPOP;0;randomMeetingScheduling_1548913194191;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;388;4519;87135;11625;3;0;0
DPOP;0;randomMeetingScheduling_1548913195574;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;88;24;39372;34404;4;0;0
P-DPOP;0;randomMeetingScheduling_1548913195574;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;1781;5424;4287144;4133815;6;0;0
DPOP;0;randomMeetingScheduling_1548913198795;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;26;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548913198795;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;39;905;16277;812;1;0;0
DPOP;0;randomMeetingScheduling_1548913199439;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;36;13;3531;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548913199439;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;55;1808;31913;2318;2;0;0
DPOP;0;randomMeetingScheduling_1548913200153;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;28;18;4938;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548913200153;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;62;2715;71983;14319;3;0;0
DPOP;0;randomMeetingScheduling_1548913200987;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;38;20;5858;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548913200987;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;199;3618;260822;110686;4;0;0
DPOP;0;randomMeetingScheduling_1548913202031;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;83;22;38448;34404;4;0;0
P-DPOP;0;randomMeetingScheduling_1548913202031;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;10431;4521;25005355;24598500;7;0;0
DPOP;0;randomMeetingScheduling_1548913215376;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;282;34;363190;277261;5;0;0
P-DPOP;0;randomMeetingScheduling_1548913215376;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;17726;5426;4399462;4133816;6;0;0
DPOP;0;randomMeetingScheduling_1548913236829;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548913236829;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;38;905;16193;810;1;0;0
DPOP;0;randomMeetingScheduling_1548913237518;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;25;16;4014;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548913237518;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;48;1810;32288;811;1;0;0
DPOP;0;randomMeetingScheduling_1548913238182;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;41;20;6725;1232;2;0;0
P-DPOP;0;randomMeetingScheduling_1548913238182;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;61;2715;53544;2539;2;0;0
DPOP;0;randomMeetingScheduling_1548913239010;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;59;25;18322;6587;3;0;0
P-DPOP;0;randomMeetingScheduling_1548913239010;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;143;3620;187877;110683;4;0;0
DPOP;0;randomMeetingScheduling_1548913240078;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;74;24;56456;46052;4;0;0
P-DPOP;0;randomMeetingScheduling_1548913240078;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;1000;4521;5224246;5074615;6;0;0
DPOP;0;randomMeetingScheduling_1548913242689;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;245;26;325436;314893;5;0;0
P-DPOP;0;randomMeetingScheduling_1548913242689;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;23800;5424;29825264;24598501;7;0;0
DPOP;0;randomMeetingScheduling_1548913272542;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2002;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548913272542;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;38;905;16217;812;1;0;0
DPOP;0;randomMeetingScheduling_1548913273164;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;33;13;3527;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548913273164;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;61;1808;31840;2336;2;0;0
DPOP;0;randomMeetingScheduling_1548913273879;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;61;17;9074;5689;3;0;0
P-DPOP;0;randomMeetingScheduling_1548913273879;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;117;2711;55201;11612;3;0;0
DPOP;0;randomMeetingScheduling_1548913274776;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;55;20;9596;5691;3;0;0
P-DPOP;0;randomMeetingScheduling_1548913274776;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;151;3620;173304;99481;4;0;0
DPOP;0;randomMeetingScheduling_1548913275858;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;253;25;226537;218125;5;0;0
P-DPOP;0;randomMeetingScheduling_1548913275858;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;17218;4521;4637794;4133802;6;0;0
DPOP;0;randomMeetingScheduling_1548913295313;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;511;38;341563;261133;5;0;0
P-DPOP;0;randomMeetingScheduling_1548913295313;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;1371;5424;351038;99590;4;0;0
DPOP;0;randomMeetingScheduling_1548913299737;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548913299737;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;42;905;16187;812;1;0;0
DPOP;0;randomMeetingScheduling_1548913300441;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;29;16;4012;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548913300441;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;48;1810;32400;812;1;0;0
DPOP;0;randomMeetingScheduling_1548913301138;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;34;18;4938;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548913301138;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;62;2715;71914;14282;3;0;0
DPOP;0;randomMeetingScheduling_1548913301967;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;39;20;5858;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548913301967;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;138;3620;215976;88286;4;0;0
DPOP;0;randomMeetingScheduling_1548913303075;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;74;24;56454;46050;4;0;0
P-DPOP;0;randomMeetingScheduling_1548913303075;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;630;4521;285472;99590;4;0;0
DPOP;0;randomMeetingScheduling_1548913304863;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;242;26;325440;314893;5;0;0
P-DPOP;1;randomMeetingScheduling_1548913304863;0.0;infinity;PEAV;null;3;2;6;8;0.0;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;0;randomMeetingScheduling_1548913390297;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;27;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548913390297;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;38;905;16215;811;1;0;0
DPOP;0;randomMeetingScheduling_1548913390951;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;25;16;4016;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548913390951;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;47;1810;32358;813;1;0;0
DPOP;0;randomMeetingScheduling_1548913391630;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;61;17;9074;5689;3;0;0
P-DPOP;0;randomMeetingScheduling_1548913391630;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;132;2713;58106;11519;3;0;0
DPOP;0;randomMeetingScheduling_1548913392554;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;68;25;12727;5691;3;0;0
P-DPOP;0;randomMeetingScheduling_1548913392554;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;157;3616;76931;14416;3;0;0
DPOP;0;randomMeetingScheduling_1548913393563;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;85;25;56518;46052;4;0;0
P-DPOP;0;randomMeetingScheduling_1548913393563;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;734;4521;832210;634968;5;0;0
DPOP;0;randomMeetingScheduling_1548913395519;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;300;26;354169;314891;5;0;0
P-DPOP;0;randomMeetingScheduling_1548913395519;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;9209;5426;25497056;24598493;7;0;0
DPOP;0;randomMeetingScheduling_1548913410750;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;24;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548913410750;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;39;905;16189;813;1;0;0
DPOP;0;randomMeetingScheduling_1548913411391;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;29;16;4012;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548913411391;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;46;1810;32468;815;1;0;0
DPOP;0;randomMeetingScheduling_1548913412110;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;37;18;4934;1168;2;0;0
P-DPOP;0;randomMeetingScheduling_1548913412110;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;59;2713;48293;2334;2;0;0
DPOP;0;randomMeetingScheduling_1548913412914;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;40;20;9600;5691;3;0;0
P-DPOP;0;randomMeetingScheduling_1548913412914;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;203;3618;137639;63069;4;0;0
DPOP;0;randomMeetingScheduling_1548913413926;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;72;24;56458;46052;4;0;0
P-DPOP;0;randomMeetingScheduling_1548913413926;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;278;4521;735624;634890;5;0;0
DPOP;0;randomMeetingScheduling_1548913415594;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;572;42;341820;261133;5;0;0
P-DPOP;0;randomMeetingScheduling_1548913415594;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;39558;5426;10099012;5701812;6;0;0
DPOP;0;randomMeetingScheduling_1548913459089;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;26;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548913459089;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;39;905;16179;813;1;0;0
DPOP;0;randomMeetingScheduling_1548913459731;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;32;16;4012;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548913459731;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;48;1810;32490;812;1;0;0
DPOP;0;randomMeetingScheduling_1548913460442;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;35;18;4940;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548913460442;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;64;2713;48027;2338;2;0;0
DPOP;0;randomMeetingScheduling_1548913461228;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;43;20;5858;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548913461228;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;200;3616;63846;2338;2;0;0
DPOP;0;randomMeetingScheduling_1548913462286;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;82;24;56460;46052;4;0;0
P-DPOP;0;randomMeetingScheduling_1548913462286;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;1382;4521;5848016;5074720;6;0;0
DPOP;0;randomMeetingScheduling_1548913465200;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;301;26;354169;314891;5;0;0
P-DPOP;0;randomMeetingScheduling_1548913465200;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;1278;5422;188625;88389;4;0;0
DPOP;0;randomMeetingScheduling_1548913470241;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548913470241;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;39;905;16163;810;1;0;0
DPOP;0;randomMeetingScheduling_1548913470883;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;34;13;3527;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548913470883;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;54;1810;34695;2425;2;0;0
DPOP;0;randomMeetingScheduling_1548913471574;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;35;18;4934;1166;2;0;0
P-DPOP;0;randomMeetingScheduling_1548913471574;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;59;2715;50871;2425;2;0;0
DPOP;0;randomMeetingScheduling_1548913472435;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;44;20;9592;5691;3;0;0
P-DPOP;0;randomMeetingScheduling_1548913472435;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;236;3618;74269;11520;3;0;0
DPOP;0;randomMeetingScheduling_1548913473597;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;113;27;46192;34404;4;0;0
P-DPOP;0;randomMeetingScheduling_1548913473597;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;566;4519;140337;63184;4;0;0
DPOP;0;randomMeetingScheduling_1548913475173;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;67;24;15176;5689;3;0;0
P-DPOP;0;randomMeetingScheduling_1548913475173;0.0;infinity;PEAV;null;3;2;6;8;0.0;0;7608;5426;21812237;19894501;7;0;0
DPOP;0;randomMeetingScheduling_1548913485408;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;25;8;2000;463;1;0;0
P-DPOP;0;randomMeetingScheduling_1548913485408;0.0;infinity;PEAV;null;3;2;1;8;0.0;0;41;905;16181;809;1;0;0
DPOP;0;randomMeetingScheduling_1548913486096;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;30;16;4014;465;1;0;0
P-DPOP;0;randomMeetingScheduling_1548913486096;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;52;1810;32468;813;1;0;0
DPOP;0;randomMeetingScheduling_1548913486792;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;32;18;4934;1168;2;0;0
P-DPOP;0;randomMeetingScheduling_1548913486792;0.0;infinity;PEAV;null;3;2;3;8;0.0;0;85;2713;48187;2339;2;0;0
DPOP;0;randomMeetingScheduling_1548913487667;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;32;20;5860;1170;2;0;0
P-DPOP;0;randomMeetingScheduling_1548913487667;0.0;infinity;PEAV;null;3;2;4;8;0.0;0;202;3618;260823;110685;4;0;0
DPOP;0;randomMeetingScheduling_1548913488764;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;54;22;10518;5689;3;0;0
P-DPOP;0;randomMeetingScheduling_1548913488764;0.0;infinity;PEAV;null;3;2;5;8;0.0;0;735;4519;87108;11619;3;0;0
